Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Last 5 Day Avg. Vol,Previous-Last 5 Day Avg. Vol,5 Day Price Change(5Day),STD of 100 Day Price Change(5Day),signal,c_signal,exit,return,str_return,cu_str_return,cu_mar_return
2018-08-01,VEDL,EQ,222.2,219.8,229.0,216.2,217.95,218.2,222.25,14690496,326492221440000.0,112519,3558102,0.2422,8107239.2,10750950.0,3.25,10.729943411130389,0,0,0,-0.01816580380655913,-0.0,-0.11860972207763783,-0.3030875443927124
2018-08-02,VEDL,EQ,218.2,217.0,217.9,211.45,214.0,214.15,214.37,14319624,306972693540000.0,117607,3178073,0.22190000000000001,8792967.4,11433968.6,1.6999999999999886,10.711508066117716,0,0,0,-0.018735369337590343,-0.0,-0.11860972207763783,-0.32182291373030275
2018-08-03,VEDL,EQ,214.15,215.05,223.7,214.85,222.95,222.4,220.59,18274236,403106038450000.0,102788,5337831,0.2921,10224077.8,10445342.2,-5.599999999999994,10.686932582846346,0,0,0,0.03780085831504723,0.0,-0.11860972207763783,-0.2840220554152555
2018-08-06,VEDL,EQ,222.4,224.5,225.45,221.7,224.25,224.35,223.94,6347884,142157063755000.0,59314,1402873,0.22100000000000003,12539809.2,9961340.6,-2.5,10.57536133776252,0,0,0,0.008729770045565069,0.0,-0.11860972207763783,-0.2752922853696904
2018-08-07,VEDL,EQ,224.35,225.0,230.75,223.5,226.8,226.8,226.96,16046724,364203914340000.0,103296,4470157,0.2786,12150735.2,9833758.4,2.1500000000000057,10.493751134784343,0,0,0,0.010861239431604634,0.0,-0.11860972207763783,-0.2644310459380858
2018-08-08,VEDL,EQ,226.8,228.45,229.3,223.6,225.0,224.8,226.32,9371088,212085803735000.0,67480,2927683,0.3124,13935792.8,8107239.2,8.600000000000023,10.434780747213814,0,0,0,-0.008857453834061052,-0.0,-0.11860972207763783,-0.27328849977214686
2018-08-09,VEDL,EQ,224.8,225.95,232.5,222.0,230.55,230.6,227.51,12895636,293382174790000.0,83233,2606839,0.2021,12871911.2,8792967.4,10.650000000000006,10.524225300791409,0,0,0,0.02547348981542259,0.0,-0.11860972207763783,-0.24781500995672429
2018-08-10,VEDL,EQ,230.6,232.9,233.7,222.2,222.4,223.7,227.83,11685692,266236908480000.03,74944,2506528,0.2145,12587113.6,10224077.8,8.199999999999989,10.53986922033751,0,0,0,-0.030378739338874805,-0.0,-0.11860972207763783,-0.2781937492955991
2018-08-13,VEDL,EQ,223.7,218.4,218.4,213.5,216.1,216.3,215.9,12726787,274765483315000.0,88999,3375243,0.2652,11269404.8,12539809.2,-0.6500000000000057,10.145219242818182,0,0,0,-0.0336395355370707,-0.0,-0.11860972207763783,-0.3118332848326698
2018-08-14,VEDL,EQ,216.3,216.0,217.65,213.05,215.45,215.1,214.71,10074719,216317104319999.97,68174,3424856,0.33990000000000004,12545185.4,12150735.2,-10.5,9.771245423241194,0,0,0,-0.005563296685328826,-0.0,-0.11860972207763783,-0.31739658151799865
2018-08-16,VEDL,EQ,215.1,208.0,210.9,205.35,209.0,208.8,208.38,14309862,298194567330000.0,110601,3782589,0.2643,11350784.4,13935792.8,-9.700000000000017,9.690578718997683,1,1,1,-0.02972618026520062,-0.02972618026520062,-0.14833590234283844,-0.3471227617831993
2018-08-17,VEDL,EQ,208.8,212.2,216.7,211.0,214.55,215.2,214.52,13308267,285489365825000.0,105741,2235666,0.168,12338539.2,12871911.2,-21.799999999999983,9.455657744643588,1,1,2,0.030190972279145516,0.030190972279145516,-0.11814493006369292,-0.31693178950405376
2018-08-20,VEDL,EQ,215.2,216.9,222.8,215.6,221.65,221.85,219.45,10506489,230564095515000.0,73856,2019473,0.19219999999999998,12421065.4,12587113.6,-8.5,9.472507521104093,0,1,3,0.030433649537289102,0.030433649537289102,-0.08771128052640381,-0.28649813996676465
2018-08-21,VEDL,EQ,221.85,223.05,223.45,218.1,218.85,218.85,219.93,7890862,173540909575000.0,62481,2895472,0.3669,12185224.8,11269404.8,5.549999999999983,9.500861882753131,0,1,4,-0.013614914188014209,-0.013614914188014209,-0.10132619471441802,-0.30011305415477885
